dm_desc	frequency
Orphan nuclear receptor ROR-beta	3
Bni1	3
NADH-dependent ferredoxin reductase, BphA4	3
NADH-dependent ferredoxin reductase, BphA4, N- and C-terminal domain	3
NADH-dependent ferredoxin reductase, BphA4, middle domain	3
Pneumococcal surface protein A, PspA	3
alpha-actinin	3
beta-catenin-interacting protein ICAT	3
CED-4, NB-ARC domain	3
DSK2	3
Sonic hedgehog	3
Secretory trypsin inhibitor	3
DNA-repair protein XRCC1	3
Microcin J25	3
Mitotic rotamase PIN1, domain 2	3
Peptidylarginine deiminase Pad4, N-terminal domain	3
Cell cycle inhibitor p19ink4D	3
YheA-like protein	3
Peptidylarginine deiminase Pad4, catalytic C-terminal domain	3
Proteinase A inhibitor IA3	3
Xylitol dehydrogenase	3
Cellular receptor HveA, N-terminal domain	3
S1-domain of exosome component 3 (RRP40)	3
SARS coronavirus nsp16	3
Apical membrane antigen 1	3
Eukaryotic ribosomal protein L30 (L30e)	3
Mating type protein A1 Homeodomain	3
Signal recognition particle 14KDa protein, SRP14	3
Succinylarginine dihydrolase	3
Signal recognition particle receptor beta-subunit	3
Exportin-1 (Xpo1, Crm1)	3
Signal recognition particle 9KDa protein, SRP9	3
Cellular receptor HveA, C-terminal domain	3
Peptidylarginine deiminase Pad4, middle domain	3
Ribosomal protein L25	2
Sentrin-specific protease 8, SENP8	2
Transcription factor DP-1	2
tRNA-splicing endonuclease subunit Sen15	2
Transcription factor Creb	2
Soluble secreted chemokine inhibitor, VCCI	2
YhbY homologue HI1333	2
Transcription factor E2F1	2
Transcription factor IIIA, TFIIIA	2
Transcription corepressor CtbP	2
Translational initiation factor 1, IF1	2
Shc adaptor protein	2
Soluble domain of poliovirus core protein 3a	2
Transcription factor MotA, activation domain	2
tRNA(m1G37)-methyltransferase TrmD	2
Thiaminase I	2
Ribonuclease MC1	2
YopE	2
Trypsin inhibitor V	2
putative transcriptional repressor VC2159	2
Sodium/potassium-transporting ATPase, gamma subunit	2
Transcriptional regulatory protein DctD, receiver domain	2
Sorbitol dehydrogenase	2
Sensor of blue light AppA	2
Transcriptional regulator IclR, N-terminal domain	2
pbx1	2
Spliceosome RNA helicase BAT1 (UAP56)	2
YcaC	2
Transcription-repair coupling factor, TRCF, C-terminal domain	2
p85 alpha subunit RhoGAP domain	2
Thaumatin	2
Sigma factor SigR	2
Transcription-repair coupling factor, RRCF, middle domain	2
Transcription-repair coupling factor TRCF, domain 4	2
Transcription-repair coupling factor TRCF, domain 3	2
Transcription-repair coupling factor TRCF, domain 2	2
YaeT	2
RhoE (RND3)	2
Sperm motility protein MFP2	2
YTHDC1	2
RhoQ	2
alpha2d	2
YchF GTP-binding protein N-terminal domain	2
Sox-2	2
Sorting nexin grd19	2
poly(A) binding protein	2
Tubulin chaperone cofactor A	2
Transcriptional regulator BH1968	2
YchF GTP-binding protein, C-terminal domain	2
Sortase B	2
YAP1 redox domain	2
Transcription factor NusA, N-terminal domain	2
SigmaF	2
Transcription factor NusA, C-terminal domains	2
Tp47 lipoprotein, middle and C-terminal domains	2
Thermopin	2
VibH	2
rRNA (Uracil-5-)-methyltransferase RumA, N-terminal domain	2
Sequestosome 1 (Sqstm1)	2
Sin3B	2
Serine/threonine-protein kinase PknD	2
Serum response factor accessory protein 1a, SAP-1	2
Threonyl-tRNA synthetase	2
TrmE connector domain	2
Splicing factor 3B subunit 1 fragment	2
TrmE GTPase domain	2
Tombusvirus P19 core protein, VP19	2
Serine/threonine-protein kinase Sak C-terminal domain	2
Serine/threonine-protein kinase Sgk3, Cisk	2
Small nuclear ribonucleoprotein-associated protein 1, Snu13p	2
Zeamatin	2
Zn finger domain from DNA methyltransferase 1 (DNMT1)	2
Ribosomal large subunit pseudouridine synthase C, RluC	2
Zinc finger protein 174	2
ron-responsive element binding protein 1, C-terminal domain	2
Trypsin	2
Serine/threonine-protein kinase ste11	2
Zinc-binding domain of primase-helicase	2
Zinc-binding domain of DNA primase	2
Tmzip: a chimeric peptide model of the n-terminus of alpha tropomyosin	2
Single chain tissue plasminogen activator	2
Trematode hemoglobin/myoglobin	2
Trehalose repressor, C-terminal domain	2
Transposase Hermes, dimerisation domain	2
Thyroid hormone sulfotransferase Sult1b1	2
Zinc fingers and homeoboxes protein 1, ZHX1	2
Tie2 kinase	2
Zinc finger protein 42	2
Translational regulator protein regA	2
stNUC	2
Ribosomal protein L10e	2
Threonine deaminase	2
Windbeutel, N-terminal domain	2
Topoisomerase 'domain' of reverse gyrase	2
Vinorine synthase	2
Tp47 lipoprotein, N-terminal domain	2
Single-strand selective monofunctional uracil-DNA glycosylase SMUG1	2
Virally encoded KP4 toxin	2
Transcriptional regulatory protein PF1790	2
alpha-2-macroglobulin	2
rRNA (Uracil-5-)-methyltransferase RumA, catalytic domain	2
Thio-ester containing domain (TED) from Complement C5	2
Xyloglucan endotransglycosylase	2
Thioesterase II (TesB)	2
Thioglucosidase	2
alpha-2-Macroglobulin receptor associated protein (RAP)	2
Viscotoxin a3	2
Xylanase inhibitor protein I, XIP-I	2
Ribonuclease T	2
alpha-1-macroglobulin	2
SfaE	2
Xylan-binding domain	2
TorA specific chaperone TorD	2
XisI	2
Signal recognition particle receptor alpha subunit, N-terminal domain	2
Transcriptional repressor protein KorB DNA-binding domain	2
Vitelline membrane outer protein-I (VMO-I)	2
Thioredoxin reductase TsaA	2
Topoisomerase V, catalytic domain	2
Topoisomerase V	2
Von Ebner's gland protein (VEGP, tear lipocalin)	2
Windbeutel, C-terminal domain	2
rRNA methyltransferase RlmA	2
Semaphorin 3a	2
Rubredoxin oxygen:oxidoreductase (ROO), C-terminal domain	2
Sporulation response regulator Spo0A	2
hypothetical protein yl85	2
SufE (YhnA)	2
T-cell transcription factor NFAT5 (TONEBP)	2
Uncharacterized protein Mll8374	2
Uncharacterized protein Mb2760	2
Uncharacterized protein MW1311	2
T domain from Brachyury transcription factor	2
SPRY domain-containing SOCS box protein 2	2
Uncharacterized protein MTH863	2
Sulfatase modifying factor 2	2
Syntrophin	2
Uncharacterized protein Lp3323	2
Uncharacterized protein LSEI2283	2
Uncharacterized protein LPG0085	2
Sulfite oxidase, N-terminal domain	2
Uncharacterized protein HP0222	2
Uncharacterized protein HI0840	2
SH3BGRL3	2
Uncharacterized protein NE2227	2
T-cell transcription factor NFAT5 (TONEBP), DNA-binding domain	2
Ribosomal small subunit pseudouridine 516 synthase RsuA	2
iaal-e3/k3 heterodimer	2
TCF3-CBD (catenin-binding domain)	2
Uncharacterized protein Rv3472	2
Uncharacterized protein PSTPO5379	2
Uncharacterized protein PG0945	2
Ribosomal protein S24e	2
Uncharacterized protein PG0775	2
TAF(II)28	2
TAF(II)18	2
TAF(II)-20, (TAF(II)-15, hTAF12), histone fold domain	2
Uncharacterized protein PFL1779	2
TAF(II)-135, (TAF(II)-130, hTAF4), histone fold domain	2
Uncharacterized protein NTHI1458	2
Succinyl-diaminopimelate desuccinylase	2
Succinyl-diaminopimelate desuccinylase, catalytic domain	2
UDP-galactopyranose mutase	2
UDP-galactopyranose mutase, N-terminal domain	2
cro 434	2
Syntaxin 6, SNAP-25 homolog	2
Ribosome anti-association factor eIF6 (aIF6)	2
Terminase gpNU1 subunit domain	2
Uncharacterized protein AF1056	2
Uncharacterized protein AGR_C_3712p	2
Uncharacterized protein Ava2261	2
Swi6 ankyrin-repeat fragment	2
Uncharacterized protein AGR_C_984p	2
Uncharacterized protein Atu2452	2
Suppressor of cytokine signaling 4, SOCS-4	2
Uncharacterized protein Atu1953	2
Uncharacterized protein APE0880.1	2
SurE homolog PAE2908 (SurE-alpha)	2
Uncharacterized protein Acel_2062	2
Uncharacterized protein Atu1531	2
Uncharacterized protein Atu1473	2
Uncharacterized protein Atu0744	2
Surfactin synthetase, SrfA	2
Uncharacterized protein All1756 ortholog	2
Uncharacterized protein Atu0232	2
ephb2 receptor tyrosine kinase	2
S-lac lectin, L-14-II	2
Synaphin	2
dTDP-D-olivose-transferase UrdGT2	2
Uncharacterized protein AF0751	2
Uncharacterized protein Exig0174	2
Sulfur oxidation protein SoxZ	2
gp2.5	2
Ubiquitin carboxyl-terminal hydrolase 8, USH8	2
Uncharacterized protein EF3048	2
SEM1 fragment	2
Ribosome-binding factor A, RbfA	2
Ubiquitin-conjugating enzyme E2 Q2, C-terminal domain	2
Rieske-type ferredoxin associated with biphenyl dioxygenase	2
Uncharacterized protein BTHI0051	2
Uncharacterized protein BT9727_1981	2
Uncharacterized protein BH2638	2
SAICAR synthase	2
Ubiquitin-protein ligase W (E2 W)	2
Uncharacterized protein BH1328	2
S1-domain of Ribosomal RNA-processing protein 4, RRP4	2
S1 domain of NusA	2
SRP54M	2
SSP-19	2
Uncharacterized protein SE1688	2
Type I restriction enzyme StySJI M protein	2
Secretion chaperone CesT	2
Utrophin	2
Uteroglobin	2
Tas protein	2
Usf B/HLH domain	2
Uroporphyrinogen III synthase (U3S, HemD)	2
p14-TCL1	2
p-Hydroxybenzoate hydroxylase, PHBH	2
p-Hydroxybenzoate hydroxylase (PHBH)	2
Tagatose-1,6-bisphosphate aldolase	2
Type III effector AvrB	2
mu transposase, core domain	2
Sec22b	2
mu transposase, C-terminal domain	2
Scml2 protein	2
Upf1, N-terminal domain	2
Upf1, C-terminal domain	2
Secretion chaperone SigE	2
Teichoic acid phosphorylcholine esterase Pce (LytD), N-terminal domain	2
TDP-vancosaminyltransferase GftD	2
p450 monoxygenase OxyC	2
VPR protein fragments	2
VC_A0923	2
TenA homolog PAE0170	2
Tungsten containing formate dehydrogenase, small subunit	2
Telomere binding protein TBP1	2
Twitchin, kinase domain	2
Segregation and condensation protein B, ScpB	2
p52 subunit of NF-kappa B (NFKB), N-terminal domain	2
p52 subunit of NF-kappa B (NFKB)	2
Two-chain trypsin inhibitor	2
Spumaviral integrase	2
Tx10 alpha-like toxin	2
Sso10a (SSO10449)	2
Tellurite resistance protein of COG3793	2
p47	2
Rubredoxin oxygen:oxidoreductase (ROO), N-terminal domain	2
Staphylococcal accessory regulator A homolog, SarR	2
mitoNEET	2
Upf1 barrel domain	2
Stringent response-like protein RelA N-terminal domain	2
Schistatin	2
TNF receptor associated factor 6 (TRAF6)	2
Tyrosine-protein kinase receptor tyro3, second domain	2
Uncharacterized protein Tll0839	2
Tyrosyl-tRNA synthetase (TyrRS), C-terminal domain	2
Uncharacterized protein TTHA0227	2
U6 snRNA-associated sm-like protein LSM5	2
mRNA decapping enzyme Dcp2p catalytic domain	2
Subtilisin prosegment	2
Uncharacterized protein TM1040_2465	2
Uncharacterized protein Shew3102	2
Ribosomal protein S15	2
Uncharacterized protein Sden_2034	2
Uncharacterized protein Saro1465	2
Uncharacterized protein SO2176	2
UBA-domain protein mud1	2
Uncharacterized protein SO0963	2
Ribosomal protein S17	2
Tyrosine-protein kinase receptor tyro3, N-terminal domain	2
Uncharacterized protein VCA1059	2
Uncharacterized protein VP2528	2
Uncharacterized protein YobK	2
Stringent response-like protein RelA domain 2	2
mTOR kinase domain	2
Unnamed hypothetical protein	2
Sarcoplasmic calcium-binding protein	2
Uncharacterized protein YueI	2
Uncharacterized protein YrvN	2
Tyrosine aminotransferase (TAT)	2
Uncharacterized protein YmcA	2
Uncharacterized protein XCC0516	2
Uncharacterized protein YejL	2
mTOR alpha-helical domain	2
Uncharacterized protein YdhG	2
Structural proteins	2
SacY	2
Subgroup IV putative aspartate aminotransferase	2
Uncharacterized protein XoxI	2
Uncharacterized protein Dgeo_1446	2
'Hypothetical' protein MJ0577	2
Hypothetical protein NMB0513	2
Hypothetical protein Lmaj006828	2
Hypothetical protein NE0471 C-terminal domain	2
Hypothetical protein NE0264	2
Hypothetical protein Mll6688	2
Hypothetical protein MTH777 (MT0777)	2
Hypothetical protein MTH393	2
CRISPR-associated endonuclease Cas9/Csn1, HNH domain	2
Hypothetical protein MTH1 (MT0001), insert domain	2
Hypothetical protein MTH1 (MT0001), dimerisation domain	2
Hypothetical protein MT938 (MTH938)	2
Hypothetical protein MM3350	2
Hypothetical protein MM2497	2
Hypothetical protein MM1853	2
Hypothetical protein MM0500	2
Hypothetical protein MAL13P1.257	2
Hypothetical protein LPG2416	2
Hypothetical protein NE1496	2
Hypothetical protein Jann_1972	2
Hypothetical protein Jann0674	2
Hypothetical protein HI1480	2
Hypothetical protein HI1034	2
Hypothetical protein HI1011	2
Hypothetical protein HI0828	2
Hypothetical protein HI0510	2
CRISPR-associated endonuclease Cas9/Csn1, PI domain	2
Hypothetical protein HI0319 (YecO)	2
Hypothetical protein HI0073	2
Hypothetical protein HD1797	2
Hypothetical protein GSU2788	2
Hypothetical protein GOS_3280838	2
CRISPR-associated endonuclease Cas9/Csn1, REC lobe	2
Hypothetical protein NE0471 N-terminal domain	2
Rhamnogalacturonan acetylesterase	2
CRISPR-associated endonuclease Cas9/Csn1, RuvC-like domain	2
Hypothetical protein PAE0736	2
Hypothetical protein PH1313, N-terminal domain	2
Hypothetical protein PH1313, C-terminal domain	2
Hypothetical protein PH1257	2
Hypothetical protein PH0736	2
Hypothetical protein PH0156	2
Hypothetical protein PG1857	2
Hypothetical protein PG1388	2
Hypothetical protein PG0823	2
Hypothetical protein PF1955	2
Hypothetical protein PF1291	2
Hypothetical protein PF1190	2
CDP-diacylglycerol pyrophosphatase CDH	2
Hypothetical protein PF0904	2
Hypothetical protein PF0863	2
Hypothetical protein PA5202	2
Hypothetical protein PA0094	2
Hypothetical protein PA5026	2
Hypothetical protein PA4716	2
CO-sensing protein CooA, C-terminal domain	2
Hypothetical protein PA4017	2
Hypothetical protein PA3270	2
CO-sensing protein CooA, N-terminal domain	2
Hypothetical protein PA1994	2
Hypothetical protein PA1835	2
Hypothetical protein PA1607	2
Hypothetical protein PA1517	2
Hypothetical protein PA1358	2
Hypothetical protein PA1353	2
Hypothetical protein PA1206	2
Hypothetical protein PA1204	2
Hypothetical protein F93	2
Hypothetical protein F25D1.5	2
Hypothetical protein PH1575	2
Calcium-regulated photoprotein	2
CTP synthase PyrG, C-terminal domain	2
CTP-dependent riboflavin kinase, Rfk	2
Hypothetical protein Ava_0674 (Alr1493 orthologue)	2
Hypothetical protein Ava3825	2
Hypothetical protein Ava3068	2
Hypothetical protein Atu3699	2
Hypothetical protein Atu1826	2
Hypothetical protein Atu0120	2
Hypothetical protein At5g48480	2
Hypothetical protein At2g34160	2
Hypothetical protein Aq_178	2
Calcium- and integrin-binding protein, CIB	2
Hypothetical protein Alr5027	2
Calcium-activated lipid scramblase	2
Hypothetical protein AT5G22580	2
Hypothetical protein BC1012	2
Hypothetical protein AT3G17210.1	2
Hypothetical protein APE2540	2
Hypothetical protein APE2225	2
Hypothetical protein AF2331	2
Hypothetical protein AF2008	2
Hypothetical protein AF1403, N-terminal domain	2
Hypothetical protein AF1403, C-terminal domain	2
Hypothetical protein AF1396	2
Hypothetical protein AF1212	2
Hypothetical protein AF1124	2
Hypothetical protein AF1104	2
Hypothetical protein AF0941	2
Hypothetical protein AF0104	2
Hypothetical protein AF0060	2
CRISPR-associated protein Csm3	2
Hypothetical protein BC1747	2
Hypothetical protein EF3133	2
Hypothetical protein CT610	2
Hypothetical protein EF3068	2
Hypothetical protein EF2904	2
Hypothetical protein EF2700, N-terminal domain	2
CRISPR-associated protein Cas5d	2
Hypothetical protein EF2700, C-terminal domain	2
Hypothetical protein EF2458	2
Hypothetical protein EF0119	2
Hypothetical protein Dhaf_3308	2
Hypothetical protein DR1152	2
Hypothetical protein DR0079	2
Hypothetical protein DIP2269	2
Hypothetical protein CV3345	2
Hypothetical protein CV3147	2
Hypothetical protein CV0518	2
Hypothetical protein CAC2185	2
Hypothetical protein BC1842	2
Hypothetical protein BxeB1374	2
Hypothetical protein BT3781	2
Hypothetical protein BT3689	2
Hypothetical protein BT1257	2
Hypothetical protein BT1218	2
Hypothetical protein BT0572	2
Hypothetical protein BH3987	2
Hypothetical protein BH3618	2
Hypothetical protein BH0200	2
Hypothetical protein BCE3448	2
Hypothetical protein BCE2162	2
Hypothetical protein BC3580	2
Hypothetical protein BC3264	2
Hypothetical protein BC2332	2
CDC6, N-domain	2
Hypothetical protein PH1915, N-terminal domain	2
Hypothetical lipoprotein YmcC	2
Hypothetical protein YafJ (PA1307)	2
Hypothetical protein YhfZ	2
Hypothetical protein YheA	2
Hypothetical protein YhcO	2
C-terminal domain of the rap74 subunit of TFIIF	2
Hypothetical protein YhbO	2
Hypothetical protein YfmB	2
Hypothetical protein YfcD	2
Hypothetical protein YebR	2
C-terminal negative regulatory domain	2
Hypothetical protein YciF	2
Hypothetical protein YbeA	2
Hypothetical protein YbdB	2
Hypothetical protein YbcL	2
Hypothetical protein YbaA	2
Hypothetical protein YNL200c (YNU0_YEAST)	2
Hypothetical protein YkuD, C-terminal domain	2
Hypothetical protein XAC2396	2
Hypothetical protein VP2129	2
Hypothetical protein VP1028	2
Hypothetical protein VCA0482 (VCA0319)	2
Hypothetical protein VCA0330	2
Hypothetical protein VCA0042, N-terminal domain	2
Hypothetical protein VCA0042, C-terminal domain	2
Hypothetical protein VC0737	2
Hypothetical protein VC0714	2
C-terminal, Grx domain of Hybrid-Prx5	2
Hypothetical protein Tgtwinscan_2721, E2 domain	2
Hypothetical protein Ta1372	2
Hypothetical protein Ta1320	2
Hypothetical protein Ta0583	2
Hypothetical protein YidA	2
Hypothetical protein YkuD, N-terminal domain	2
Hypothetical protein Ta0195	2
Hypothetical protein yfbM	2
Immunomodulatory protein m144, alpha-1 and alpha-2 domains	2
Immunoglobulin heavy chain epsilon constant domain 2, CH2-epsilon	2
IL-8/MGSA chimeric protein CIL-8M	2
Bucain	2
IAP fragments	2
BurrH	2
C-myc	2
C-terminal MsrB domain of peptide methionine sulfoxide reductase PilB	2
C-terminal domain of PLC-beta	2
C-terminal domain of RPA32	2
Hypothetical transcriptional regulator ST1889	2
Hypothetical rubrerythrin	2
Hypothetical ptotein RPA3308	2
C-terminal domain of class I lysyl-tRNA synthetase	2
Hypothetical protein aq_2086	2
Hypothetical protein YkuJ	2
C-terminal domain of eukaryotic initiation translation factor 5a (eIF5a)	2
Hypothetical protein aq_1666	2
Hypothetical protein apc36103	2
Hypothetical protein YuaD	2
Hypothetical protein YrrK (RuvX)	2
Hypothetical protein YrdC	2
Hypothetical protein YqiY	2
Hypothetical protein YqaI	2
Hypothetical protein YppE	2
Hypothetical protein YorR	2
Hypothetical protein YoaG	2
Hypothetical protein Ylr011wp	2
Hypothetical protein YlbA	2
Hypothetical protein YkuL	2
Hypothetical protein Ta0289 C-terminal domain	2
Hypothetical protein TTHC002	2
Hypothetical protein PH1915, middle and C-terminal domains	2
Hypothetical protein Rv3853	2
Hypothetical protein SSO1389	2
Hypothetical protein SPO2555	2
Hypothetical protein SP1951	2
Hypothetical protein SP1609	2
CD44, hyaluronan binding domain	2
Hypothetical protein SO4414	2
Hypothetical protein SO1698	2
Hypothetical protein SO1590	2
Hypothetical protein SMc04008	2
Hypothetical protein SMU440	2
Hypothetical protein SAV1646	2
Hypothetical protein SAV1236	2
Hypothetical protein SA2161	2
Hypothetical protein SA0254	2
CD69	2
Hypothetical protein SSO2064	2
Hypothetical protein Rv2844	2
Hypothetical protein Rv1846c	2
Hypothetical protein Rv0793	2
Hypothetical protein Rv0130	2
Hypothetical protein Rru_A0301	2
Hypothetical protein Reut_A1503	2
Hypothetical protein RPA4359	2
Hypothetical protein RPA3824	2
Hypothetical protein RHA1_ro00977	2
Hypothetical protein PTD012	2
Hypothetical protein PP5205	2
CDC6, C-terminal domain	2
Hypothetical protein PHS013	2
Hypothetical protein PH1933	2
Hypothetical protein SSO1545, C-terminal domain	2
Hypothetical protein SSO2295	2
C/ebp alpha	2
Hypothetical protein TM1560	2
C2 domain from protein kinase c (beta)	2
Hypothetical protein TTHA0849	2
CBL	2
Hypothetical protein TTHA0281	2
CD2, second domain	2
Hypothetical protein TTC0031	2
Hypothetical protein TT1887 (TTHA0294)	2
Hypothetical protein TT1751 (TTHA1732)	2
Hypothetical protein TT1542	2
Hypothetical protein TT1380	2
CD2-binding domain of CD58, N-terminal domain	2
Hypothetical protein TM841	2
Hypothetical protein TM1739	2
Hypothetical protein TM1727	2
Hypothetical protein TM1459	2
Hypothetical protein SSo0622	2
Hypothetical protein TM1367	2
Hypothetical protein TM1287	2
Hypothetical protein TM1266	2
Hypothetical protein TM1112	2
Hypothetical protein TM0979	2
Hypothetical protein TM0892, CBS tandem	2
Hypothetical protein TM0874	2
Hypothetical protein TM0796	2
Hypothetical protein TM0651	2
Hypothetical protein TM0269	2
Hypothetical protein TM0207	2
Hypothetical protein Sfri0576	2
Hypothetical protein STM0082	2
CD3 gamma chain ectodomain fragment	2
Hypothetical methyltransferase TM1389	2
Hypotheical protein CAC3491	2
Infected cell protein 8, ICP8	2
Endolysin Lyz	2
Ephrin type-B receptor 4	2
EnvZ histidine kinase	2
ClpX chaperone zinc binding domain	2
Co-chaperone p23	2
Coactosin-like protein Cotl1 (Clp)	2
Coagulation factor V	2
Coagulogen	2
Enterocine A immunity protein, EntA-Im	2
Cobrotoxin II (ct2)	2
Coiled-coil dimerization domain from cortexillin I	2
Engrailed Homeodomain	2
Endoribonuclease Ire1	2
Endonuclease domain of TRAS1 retrotransposon (ORF2)	2
Endonuclease domain of LINE-1 reverse transcriptase homolog	2
Endoglucanase (alkaline cellulase)	2
Epididymal secretory protein E1 (Niemann-Pick C2 protein)	2
Colicin A	2
Endochitosanase	2
Endocellulase EngI	2
Endo-1,4-beta-xylanase Y	2
Endo-1,4-beta glucanase EngF	2
Colicin E5 immunity protein ImmE5	2
Elongation factor P middle and C-terminal domains	2
Elongation factor P N-terminal domain	2
Elk-1	2
Elastase inhibitor	2
Complement C1R protease domains	2
Eea1 homodimerisation domain	2
Complement C1R protease, catalytic domain	2
Eea1	2
Clostridium perfringens enterotoxin (CPE), C-terminal domain	2
Eps15	2
Early protein gp16.7	2
Clara cell 17kDa protein	2
Exoribonuclease 2, RNB, middle domain	2
Exoribonuclease 2, RNB, N-terminal domain	2
Exoribonuclease 2, RNB, C-terminal domain	2
Exoribonuclease 2, RNB	2
Exodeoxyribonuclease V beta chain (RecB), N-terminal domain	2
Exodeoxyribonuclease V beta chain (RecB), C-terminal domain	2
Exodeoxyribonuclease V alpha chain (RecD), N-terminal domain	2
Exodeoxyribonuclease V alpha chain (RecD), C-terminal domain	2
Exocyst complex protein EXO84	2
Chymase II (mast cell proteinase II)	2
ExoS toxin	2
Exo-beta-(1,3)-glucanase	2
Exendin-4	2
Excisionase Xis	2
Eukaryotic initiation translation factor 5a (eIF5a)	2
Epstein-Barr virus protease	2
Eukaryotic initiation factor eIF4G	2
Class I MHC-related molecule Ulbp3	2
Ethanolamine utilization protein EutQ	2
Ethanol dehydrogenase	2
Class I lysyl-tRNA synthetase	2
Esterase EstA	2
Class II ribonuclease H (RNase HII)	2
Clavaminate synthase-like protein At3g21360	2
Erythrocyte binding antigen region II	2
Ervatamin C	2
Cleavage and polyadenylation specificity factor subunit 3	2
Erabutoxin A	2
Equinatoxin II (eqtII, tenebrosin C)	2
Cleavage stimulation factor 77 kDa subunit CSTF3	2
Ebh protein	2
EV matrix protein	2
Exportin-T (Xpot)	2
D,D-carboxypeptidase DacA, C-terminal domain	2
DNA helicase UvsW	2
Complement C5 CUB domain	2
DNA endonuclease I-SceI	2
DNA endonuclease I-MsoI	2
Complement C5 MG1	2
Complement C5 MG2	2
DC-LAMP	2
Complement C5 MG3	2
Complement C5 MG4	2
Complement C5 MG5	2
Complement C5 MG6	2
D-allose-binding protein	2
D,D-heptose 1,7-bisphosphate phosphatase GmhB	2
D,D-carboxypeptidase DacA, N-terminal domain	2
Complement C5 MG7	2
DNA polymerase III chi subunit	2
Complement C5 MG8	2
Cytoplasmic domain of the integrin alpha-iib subunit	2
Complement C5 alpha-prime linker	2
Complement C5 anchor region	2
Cytoplasmic domain of a serine chemotaxis receptor	2
Cytidine and deoxycytidylate deaminase CodA	2
Cysteine desulfurase IscS	2
Cyp175a1	2
Cyp154c1 monooxygenase	2
Cyclomaltodextrinase, N-terminal domain	2
Cyclomaltodextrinase	2
Complement C5 linker domain	2
Complexin	2
Copper homeostasis protein CutC	2
DNA mismatch repair protein MutH from	2
DNA polymerase III psi subunit	2
EMAP II	2
Desmoplakin intermediate filament-binding domains, domain C	2
EIAV matrix antigen	2
Complement C3 MG6	2
Dynein light chain 2 (DLC2)	2
Dynamin G domain	2
Dual specificity mitogen-activated protein kinase kinase 2, Mek2	2
Downstream of tyrosine kinase 5, Dok-5	2
Domain swapped dimer	2
Domain from protein kinase C delta	2
Dissimilatory sulfite reductase DsvD	2
Dimerization motif of sir4	2
Dimeric transmembrane domain of glycophorin A	2
Diadenosine tetraphosphate hydrolase (Ap4A hydrolase)	2
Desulfobulbus propionicus cytolysin N-terminal domain	2
Desulfobulbus propionicus cytolysin C-terminal domain	2
Desmoplakin intermediate filament-binding domains, domain B	2
DNA primase	2
Dengue virus helicase, N-terminal domain	2
Dengue virus helicase, C-terminal domain	2
Delta-sleep-inducing peptide immunoreactive peptide	2
Dehydrogenase/reductase SDR family member 6, DHRS6	2
Defensin HNP-3	2
Decorin	2
Death-associated protein kinase, Dap	2
Dcp1	2
DcoH-like protein DCoH2	2
DNMT1 CXXC-BAH1 linker domain	2
DNA-binding protein Mj223	2
DNA-binding domain of NTRC	2
DNA topoisomerase IV, alpha subunit	2
DNA primase DnaG, C-terminal domain	2
Exportin Cse1p	2
Chromosome partition protein MukF (KicB), N-terminal domain	2
Hydroxylamine oxidoreductase, HAO	2
Glycinamide ribonucleotide synthetase (GAR-syn), domain 2	2
HDAC homologue	2
H/aca ribonucleoprotein complex subunit 3	2
H-NS-like protein VicH	2
Guanylate kinase-like domain of Psd-95	2
Growth factor receptor-bound protein 10, GRB10	2
Granulocyte-macrophage colony-stimulating factor receptor alpha fragments	2
Granulocyte-macrophage colony-stimulating factor receptor alpha	2
Cdc42GAP	2
Golgi-associated ATPase enhancer of 16 kD, Gate-16	2
Glytm1bzip	2
Glyoxylate-induced protein PA1140	2
Cell cycle checkpoint protein Chfr	2
Glycyl-tRNA synthetase (GlyRS) alpha chain	2
Glycolate oxidase	2
Glycinamide ribonucleotide synthetase (GAR-syn), N-domain	2
Cbp/p300-interacting transactivator 2, Cited2	2
Glycinamide ribonucleotide synthetase (GAR-syn), C-domain	2
Glycerate kinase GlxK	2
Glutaredoxin-like NRDH-redoxin	2
Glutamine-binding protein	2
Glutamate decarboxylase alpha, GadA	2
Glucose-6-phosphate isomerase-like protein TTHA1346	2
Glucose-1-phosphatase	2
Gluconate 5-dehydrogenase	2
Glucocorticoid modulatory element binding protein-1 (Gmeb1)	2
Glucans biosynthesis protein G (MdoG, OpgG), N-terminal domain	2
Glucans biosynthesis protein G (MdoG, OpgG), C-terminal domain	2
GlpG	2
Gliomedin OLF domain	2
Glia maturation factor gamma, GMF-gamma	2
HIV nucleocapsid	2
Cathepsin F	2
GlcNAc-alpha-1,4-Gal-releasing endo-beta-galactosidase, GngC, C-terminal domain	2
Cardiotoxin V4II (Toxin III)	2
Hydroxyglutaryl-CoA dehydratase component A	2
Hydrogen peroxide-inducible genes LysR-type activator OxyR, regulatory domain	2
Human adenovirus 2 proteinase, adenain	2
Carboxylesterase Est	2
Hordothionin	2
Homolog of theta (HOT)	2
Carboxypeptidase A prodomain-based design	2
Holliday-junction resolvase SSO1176	2
Holliday junction resolvase RusA	2
Cardiotoxin V	2
Histone H5, globular domain	2
Histidine-binding protein	2
Histidine phosphotransferase ShpA	2
High level kasugamycin resistance protein KsgA	2
Her-1	2
HSC20 (HSCB), C-terminal oligomerisation domain	2
Hepcidin	2
Hepatoma-derived growth factor, HDGF	2
Cask/Lin-2	2
Hemopexin	2
Hemolysin expression modulating protein HHA	2
Hemolin	2
